No.	Fokus		Waktu
464,	UP		10:34:11;59547
465,	UP		10:34:11;59563
466,	UP		10:34:11;59583
467,	UP		10:34:11;59599
468,	UP		10:34:11;59616
469,	UP		10:34:11;59634
470,	UP		10:34:11;59649
471,	UP		10:34:11;59665
472,	UP		10:34:11;59684
473,	UP		10:34:11;59700
474,	UP		10:34:11;59716
475,	UP		10:34:11;59733
476,	UP		10:34:11;59749
477,	UP		10:34:11;59765
478,	UP		10:34:11;59783
479,	UP		10:34:11;59800
480,	UP		10:34:11;59815
481,	UP		10:34:11;59834
482,	UP		10:34:11;59849
483,	UP		10:34:11;59865
484,	UP		10:34:11;59881
485,	UP		10:34:11;59899
486,	UP		10:34:11;59915
487,	UP		10:34:11;59934
488,	UP		10:34:11;59949
489,	UP		10:34:11;59965
490,	UP		10:34:12;59982
491,	UP		10:34:12;59998
492,	UP		10:34:12;60015
493,	UP		10:34:12;60031
494,	UP		10:34:12;60048
495,	UP		10:34:12;60064
496,	UP		10:34:12;60081
497,	UP		10:34:12;60101
498,	UP		10:34:12;60118
499,	UP		10:34:12;60135
500,	UP		10:34:12;60152
501,	UP		10:34:12;60166
502,	UP		10:34:12;60182
503,	UP		10:34:12;60201
504,	UP		10:34:12;60217
505,	UP		10:34:12;60236
506,	UP		10:34:12;60250
507,	UP		10:34:12;60268
508,	UP		10:34:12;60286
509,	UP		10:34:12;60301
510,	UP		10:34:12;60318
511,	UP		10:34:12;60337
512,	UP		10:34:12;60352
513,	UP		10:34:12;60370
514,	UP		10:34:12;60388
515,	UP		10:34:12;60403
516,	UP		10:34:12;60420
517,	UP		10:34:12;60438
518,	UP		10:34:12;60453
519,	UP		10:34:12;60470
520,	UP		10:34:12;60489
521,	UP		10:34:12;60504
522,	UP		10:34:12;60521
523,	UP		10:34:12;60539
524,	UP		10:34:12;60554
525,	UP		10:34:12;60571
526,	UP		10:34:12;60590
527,	UP		10:34:12;60603
528,	UP		10:34:12;60621
529,	UP		10:34:12;60638
530,	UP		10:34:12;60653
531,	UP		10:34:12;60669
532,	UP		10:34:12;60685
533,	UP		10:34:12;60703
534,	UP		10:34:12;60718
535,	UP		10:34:12;60737
536,	UP		10:34:12;60752
537,	UP		10:34:12;60767
538,	UP		10:34:12;60786
539,	UP		10:34:12;60800
540,	UP		10:34:12;60816
541,	UP		10:34:12;60831
542,	UP		10:34:12;60849
543,	UP		10:34:12;60865
544,	UP		10:34:12;60882
545,	UP		10:34:12;60898
546,	UP		10:34:12;60914
547,	UP		10:34:12;60930
548,	UP		10:34:12;60948
549,	UP		10:34:12;60964
550,	UP		10:34:13;60980
551,	UP		10:34:13;60998
552,	UP		10:34:13;61014
553,	UP		10:34:13;61032
554,	UP		10:34:13;61047
555,	UP		10:34:13;61064
556,	UP		10:34:13;61081
557,	UP		10:34:13;61098
558,	UP		10:34:13;61113
559,	UP		10:34:13;61131
560,	UP		10:34:13;61146
561,	UP		10:34:13;61164
562,	UP		10:34:13;61182
563,	UP		10:34:13;61198
564,	UP		10:34:13;61215
565,	UP		10:34:13;61232
566,	UP		10:34:13;61248
567,	UP		10:34:13;61265
568,	UP		10:34:13;61281
569,	UP		10:34:13;61299
570,	UP		10:34:13;61314
571,	UP		10:34:13;61332
572,	UP		10:34:13;61348
573,	UP		10:34:13;61364
574,	UP		10:34:13;61381
575,	UP		10:34:13;61400
576,	UP		10:34:13;61415
577,	UP		10:34:13;61431
578,	UP		10:34:13;61449
579,	UP		10:34:13;61465
580,	UP		10:34:13;61482
581,	UP		10:34:13;61497
582,	UP		10:34:13;61514
583,	UP		10:34:13;61532
584,	UP		10:34:13;61548
585,	UP		10:34:13;61564
586,	UP		10:34:13;61581
587,	UP		10:34:13;61599
588,	UP		10:34:13;61615
589,	UP		10:34:13;61632
590,	UP		10:34:13;61648
591,	UP		10:34:13;61664
592,	UP		10:34:13;61682
593,	UP		10:34:13;61698
594,	UP		10:34:13;61714
595,	UP		10:34:13;61731
596,	UP		10:34:13;61749
597,	UP		10:34:13;61764
598,	UP		10:34:13;61782
599,	UP		10:34:13;61798
600,	UP		10:34:13;61814
601,	UP		10:34:13;61831
602,	UP		10:34:13;61848
603,	UP		10:34:13;61865
604,	UP		10:34:13;61883
605,	UP		10:34:13;61898
606,	UP		10:34:13;61914
607,	UP		10:34:13;61930
608,	UP		10:34:13;61949
609,	UP		10:34:13;61965
610,	UP		10:34:14;61981
611,	UP		10:34:14;61999
612,	UP		10:34:14;62015
613,	UP		10:34:14;62033
614,	UP		10:34:14;62049
615,	UP		10:34:14;62065
616,	UP		10:34:14;62084
617,	UP		10:34:14;62099
618,	UP		10:34:14;62115
619,	UP		10:34:14;62132
620,	UP		10:34:14;62149
621,	UP		10:34:15;63399
622,	UP		10:34:15;63416
623,	UP		10:34:15;63433
624,	UP		10:34:15;63451
625,	UP		10:34:15;63467
626,	UP		10:34:15;63485
627,	UP		10:34:15;63503
628,	UP		10:34:15;63518
629,	UP		10:34:15;63536
630,	UP		10:34:15;63552
631,	UP		10:34:15;63569
632,	UP		10:34:15;63586
633,	UP		10:34:15;63603
634,	UP		10:34:15;63619
635,	UP		10:34:15;63637
636,	UP		10:34:15;63652
637,	UP		10:34:15;63669
638,	UP		10:34:15;63687
639,	UP		10:34:15;63701
640,	UP		10:34:15;63718
641,	UP		10:34:15;63734
642,	UP		10:34:15;63751
643,	UP		10:34:15;63766
644,	UP		10:34:15;63783
645,	UP		10:34:15;63800
646,	UP		10:34:15;63816
647,	UP		10:34:15;63833
648,	UP		10:34:15;63850
649,	UP		10:34:15;63866
650,	UP		10:34:15;63883
651,	UP		10:34:15;63902
652,	UP		10:34:15;63916
653,	UP		10:34:15;63933
654,	UP		10:34:15;63952
655,	UP		10:34:15;63966
656,	UP		10:34:16;63982
657,	UP		10:34:16;64000
658,	UP		10:34:16;64016
659,	UP		10:34:16;64033
660,	UP		10:34:16;64052
661,	UP		10:34:16;64066
662,	UP		10:34:16;64083
663,	UP		10:34:16;64101
664,	UP		10:34:16;64116
665,	UP		10:34:16;64132
666,	UP		10:34:16;64150
667,	UP		10:34:16;64166
668,	UP		10:34:16;64183
669,	UP		10:34:16;64201
670,	UP		10:34:16;64216
671,	UP		10:34:16;64232
672,	UP		10:34:16;64250
673,	UP		10:34:16;64266
674,	UP		10:34:16;64283
675,	UP		10:34:16;64301
676,	UP		10:34:16;64316
677,	UP		10:34:16;64332
678,	UP		10:34:16;64351
679,	UP		10:34:16;64365
680,	UP		10:34:16;64381
681,	UP		10:34:16;64400
682,	UP		10:34:16;64416
683,	UP		10:34:16;64435
684,	UP		10:34:16;64453
685,	UP		10:34:16;64466
686,	UP		10:34:16;64483
687,	UP		10:34:16;64501
688,	LEFT		10:34:16;64515
689,	LEFT		10:34:16;64532
690,	LEFT		10:34:16;64551
691,	LEFT		10:34:16;64567
692,	LEFT		10:34:16;64582
693,	LEFT		10:34:16;64602
694,	LEFT		10:34:16;64616
695,	LEFT		10:34:16;64633
696,	LEFT		10:34:16;64651
697,	LEFT		10:34:16;64666
698,	LEFT		10:34:16;64683
699,	LEFT		10:34:16;64699
700,	LEFT		10:34:16;64715
701,	LEFT		10:34:16;64731
702,	LEFT		10:34:16;64750
703,	LEFT		10:34:16;64764
704,	LEFT		10:34:16;64779
705,	LEFT		10:34:16;64797
706,	LEFT		10:34:16;64813
707,	LEFT		10:34:16;64832
708,	LEFT		10:34:16;64851
709,	LEFT		10:34:16;64868
710,	LEFT		10:34:16;64882
711,	LEFT		10:34:16;64899
712,	LEFT		10:34:16;64914
713,	LEFT		10:34:16;64930
