No, Fokus, Waktu
239, RIGHT, 10:43:30;34058
240, RIGHT, 10:43:30;34075
241, RIGHT, 10:43:30;34093
242, RIGHT, 10:43:30;34110
243, RIGHT, 10:43:30;34125
244, RIGHT, 10:43:30;34143
245, RIGHT, 10:43:30;34158
246, RIGHT, 10:43:30;34174
247, RIGHT, 10:43:30;34192
248, RIGHT, 10:43:30;34212
249, RIGHT, 10:43:30;34229
250, RIGHT, 10:43:30;34247
251, RIGHT, 10:43:30;34263
252, RIGHT, 10:43:30;34278
253, RIGHT, 10:43:30;34295
254, RIGHT, 10:43:30;34310
255, RIGHT, 10:43:30;34326
256, RIGHT, 10:43:30;34343
257, RIGHT, 10:43:30;34362
258, RIGHT, 10:43:30;34378
259, RIGHT, 10:43:30;34393
260, RIGHT, 10:43:30;34412
261, RIGHT, 10:43:30;34427
262, RIGHT, 10:43:30;34444
263, RIGHT, 10:43:30;34460
264, RIGHT, 10:43:30;34477
265, RIGHT, 10:43:30;34493
266, RIGHT, 10:43:30;34511
267, RIGHT, 10:43:30;34526
268, RIGHT, 10:43:30;34543
269, RIGHT, 10:43:30;34561
270, RIGHT, 10:43:30;34577
271, RIGHT, 10:43:30;34594
272, RIGHT, 10:43:30;34610
273, RIGHT, 10:43:30;34626
274, RIGHT, 10:43:30;34643
275, RIGHT, 10:43:30;34660
276, RIGHT, 10:43:30;34676
277, RIGHT, 10:43:30;34692
278, RIGHT, 10:43:30;34711
279, RIGHT, 10:43:30;34726
280, RIGHT, 10:43:30;34742
281, RIGHT, 10:43:31;34759
282, RIGHT, 10:43:31;34778
283, RIGHT, 10:43:31;34793
284, RIGHT, 10:43:31;34812
285, RIGHT, 10:43:31;34828
286, RIGHT, 10:43:31;34847
287, RIGHT, 10:43:31;34863
288, RIGHT, 10:43:31;34879
289, RIGHT, 10:43:31;34897
290, RIGHT, 10:43:31;34912
291, RIGHT, 10:43:31;34929
292, RIGHT, 10:43:31;34946
293, RIGHT, 10:43:31;34964
294, RIGHT, 10:43:31;34979
295, RIGHT, 10:43:31;34995
296, RIGHT, 10:43:31;35012
297, RIGHT, 10:43:31;35028
298, UP, 10:43:31;35046
299, UP, 10:43:31;35061
300, UP, 10:43:31;35077
301, UP, 10:43:31;35094
302, UP, 10:43:31;35113
303, UP, 10:43:31;35128
304, UP, 10:43:31;35146
305, UP, 10:43:31;35161
306, UP, 10:43:31;35177
307, UP, 10:43:31;35195
308, UP, 10:43:31;35210
309, UP, 10:43:31;35226
310, UP, 10:43:31;35244
311, UP, 10:43:31;35261
312, UP, 10:43:31;35278
313, UP, 10:43:31;35296
314, UP, 10:43:31;35311
315, UP, 10:43:31;35327
316, UP, 10:43:31;35345
