No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-10-06_18-39-35
124, -4600.63, -4976.62, 770.70, 1027.42, 0.000, 0.000, 0.000, 18:39:41.477
125, -4606.54, -4979.32, 768.56, 1028.68, 0.000, 0.000, 0.000, 18:39:41.478
126, -4622.27, -4985.65, 765.33, 1031.89, 0.000, 0.000, 0.000, 18:39:41.478
127, -4616.71, -4986.65, 772.57, 1034.45, 0.000, 0.000, 0.000, 18:39:41.525
128, -4610.10, -4981.67, 761.91, 1029.73, 0.000, 0.000, 0.000, 18:39:41.534
129, -4608.90, -4980.42, 767.11, 1031.19, 0.000, 0.000, 0.000, 18:39:41.543
130, -4605.86, -4979.03, 762.64, 1039.72, 0.000, 0.000, 0.000, 18:39:41.551
131, -4608.49, -4985.79, 759.34, 1033.48, 0.000, 0.000, 0.000, 18:39:41.556
132, -4632.49, -4989.93, 757.48, 1029.97, 0.000, 0.000, 0.000, 18:39:41.557
133, -4634.39, -4978.75, 755.55, 1024.93, 0.000, 0.000, 0.000, 18:39:41.557
134, -4618.41, -4970.40, 760.41, 1030.77, 0.000, 0.000, 0.000, 18:39:41.558
135, -4598.25, -4963.68, 767.30, 1040.49, 0.000, 0.000, 0.000, 18:39:41.559
136, -4600.11, -4966.76, 772.32, 1037.58, 0.000, 0.000, 0.000, 18:39:41.559
137, -4607.98, -4977.52, 767.48, 1039.16, 0.000, 0.000, 0.000, 18:39:41.559
138, -4605.91, -4962.23, 762.28, 1043.61, 0.000, 0.000, 0.000, 18:39:41.560
139, -4601.91, -4970.64, 756.75, 1035.08, 0.000, 0.000, 0.000, 18:39:41.573
140, -4605.36, -4972.10, 763.14, 1040.47, 0.000, 0.000, 0.000, 18:39:41.574
141, -4623.46, -4983.23, 757.61, 1035.24, 0.000, 0.000, 0.000, 18:39:41.591
142, -4597.55, -4972.45, 765.19, 1036.04, 0.000, 0.000, 0.000, 18:39:41.592
143, -4582.39, -4965.90, 760.20, 1038.30, 0.000, 0.000, 0.000, 18:39:41.607
144, -4596.36, -4972.05, 757.02, 1021.30, 0.000, 0.000, 0.000, 18:39:41.608
145, -4610.13, -4976.88, 748.98, 1013.58, 0.000, 0.000, 0.000, 18:39:41.609
146, -4608.40, -4971.30, 748.16, 1012.15, 0.000, 0.000, 0.000, 18:39:41.609
147, -4601.15, -4966.19, 748.00, 1017.34, 0.000, 0.000, 0.000, 18:39:41.610
148, -4597.79, -4962.87, 758.83, 1026.68, 0.000, 0.000, 0.000, 18:39:41.610
149, -4600.43, -4959.35, 757.28, 1032.26, 0.000, 0.000, 0.000, 18:39:41.610
150, -4605.98, -4965.17, 752.93, 1027.72, 0.000, 0.000, 0.000, 18:39:41.610
151, -4590.48, -4961.48, 755.88, 1036.28, 0.000, 0.000, 0.000, 18:39:41.624
152, -4597.52, -4958.01, 759.04, 1031.75, 0.000, 0.000, 0.000, 18:39:41.624
153, -4591.41, -4952.77, 758.78, 1022.93, 0.000, 0.000, 0.000, 18:39:41.625
154, -4584.55, -4954.81, 762.95, 1030.81, 0.000, 0.000, 0.000, 18:39:41.626
155, -4585.59, -4955.97, 764.92, 1027.31, 0.000, 0.000, 0.000, 18:39:41.627
156, -4584.60, -4958.64, 761.08, 1031.71, 0.000, 0.000, 0.000, 18:39:41.628
157, -4597.00, -4962.81, 749.36, 1024.01, 0.000, 0.000, 0.000, 18:39:41.696
158, -4587.28, -4950.62, 746.99, 1023.15, 0.000, 0.000, 0.000, 18:39:41.697
159, -4579.82, -4960.98, 752.25, 1025.67, 0.000, 0.000, 0.000, 18:39:41.697
160, -4585.36, -4960.60, 764.75, 1027.03, 0.000, 0.000, 0.000, 18:39:41.698
161, -4589.36, -4949.11, 756.85, 1024.08, 0.000, 0.000, 0.000, 18:39:41.702
162, -4587.22, -4951.13, 770.54, 1022.87, 0.000, 0.000, 0.000, 18:39:41.703
163, -4603.09, -4965.76, 768.01, 1025.71, 0.000, 0.000, 0.000, 18:39:41.705
164, -4598.96, -4954.51, 769.04, 1027.18, 0.000, 0.000, 0.000, 18:39:41.707
165, -4615.51, -4959.32, 762.57, 1014.20, 0.000, 0.000, 0.000, 18:39:41.708
166, -4606.92, -4948.01, 763.94, 1017.74, 0.000, 0.000, 0.000, 18:39:41.709
167, -4597.43, -4959.78, 768.70, 1013.75, 0.000, 0.000, 0.000, 18:39:41.710
168, -4600.40, -4957.66, 769.40, 1017.14, 0.000, 0.000, 0.000, 18:39:41.711
169, -4589.31, -4960.19, 769.32, 1014.41, 0.000, 0.000, 0.000, 18:39:41.712
170, -4578.72, -4947.59, 777.85, 1024.56, 0.000, 0.000, 0.000, 18:39:41.713
171, -4577.40, -4952.19, 769.82, 1023.67, 0.000, 0.000, 0.000, 18:39:41.717
172, -4580.23, -4965.60, 771.14, 1019.90, 0.000, 0.000, 0.000, 18:39:41.718
173, -4594.32, -4949.48, 762.92, 1013.42, 0.000, 0.000, 0.000, 18:39:41.721
174, -4600.05, -4941.47, 775.38, 1023.28, 0.000, 0.000, 0.000, 18:39:41.721
175, -4599.88, -4951.30, 774.70, 1028.08, 0.000, 0.000, 0.000, 18:39:41.763
176, -4594.89, -4956.13, 785.19, 1034.86, 0.000, 0.000, 0.000, 18:39:41.765
177, -4608.80, -4964.61, 776.09, 1021.08, 0.000, 0.000, 0.000, 18:39:41.768
178, -4588.68, -4950.07, 775.40, 1028.81, 0.000, 0.000, 0.000, 18:39:41.769
179, -4590.86, -4953.93, 767.35, 1028.33, 0.000, 0.000, 0.000, 18:39:41.773
180, -4589.17, -4954.57, 773.89, 1029.44, 0.000, 0.000, 0.000, 18:39:41.773
181, -4584.65, -4954.79, 777.09, 1032.67, 0.000, 0.000, 0.000, 18:39:41.775
182, -4588.78, -4953.88, 780.54, 1039.97, 0.000, 0.000, 0.000, 18:39:41.778
183, -4595.28, -4955.77, 780.60, 1037.54, 0.000, 0.000, 0.000, 18:39:41.781
184, -4586.10, -4963.86, 777.82, 1032.07, 0.000, 0.000, 0.000, 18:39:41.781
185, -4583.97, -4954.45, 768.25, 1026.68, 0.000, 0.000, 0.000, 18:39:41.781
186, -4576.09, -4950.75, 773.48, 1029.86, 0.000, 0.000, 0.000, 18:39:41.781
187, -4568.42, -4958.75, 784.36, 1034.69, 0.000, 0.000, 0.000, 18:39:41.814
188, -4571.65, -4958.99, 784.59, 1038.64, 0.000, 0.000, 0.000, 18:39:41.816
189, -4589.76, -4963.47, 764.46, 1036.21, 0.000, 0.000, 0.000, 18:39:41.818
190, -4581.95, -4956.05, 765.85, 1035.38, 0.000, 0.000, 0.000, 18:39:41.819
191, -4600.08, -4956.06, 761.83, 1029.55, 0.000, 0.000, 0.000, 18:39:41.820
192, -4600.81, -4964.01, 754.55, 1020.95, 0.000, 0.000, 0.000, 18:39:41.821
193, -4595.28, -4961.06, 751.44, 1021.43, 0.000, 0.000, 0.000, 18:39:41.839
194, -4587.46, -4963.94, 758.25, 1026.44, 0.000, 0.000, 0.000, 18:39:41.839
195, -4593.53, -4976.15, 759.14, 1026.03, 0.000, 0.000, 0.000, 18:39:41.841
196, -4578.80, -4959.11, 768.06, 1025.96, 0.000, 0.000, 0.000, 18:39:41.842
197, -4583.34, -4960.41, 753.90, 1027.22, 0.000, 0.000, 0.000, 18:39:41.844
198, -4582.87, -4952.41, 752.00, 1037.70, 0.000, 0.000, 0.000, 18:39:41.846
199, -4566.08, -4938.46, 760.79, 1043.32, 0.000, 0.000, 0.000, 18:39:41.854
200, -4585.06, -4948.65, 757.01, 1043.73, 0.000, 0.000, 0.000, 18:39:41.855
0, -4559.97, -4945.14, 781.62, 1063.79, 0.000, 0.000, 0.000, 18:39:41.862
1, -4558.19, -4930.28, 790.29, 1070.99, 0.000, 0.000, 0.000, 18:39:41.875
2, -4565.89, -4927.45, 796.27, 1069.66, 0.000, 0.000, 0.000, 18:39:41.876
3, -4584.98, -4932.19, 788.09, 1056.42, 0.000, 0.000, 0.000, 18:39:41.943
4, -4582.54, -4941.25, 772.39, 1048.34, 0.000, 0.000, 0.000, 18:39:41.943
5, -4569.89, -4940.68, 769.92, 1046.65, 0.000, 0.000, 0.000, 18:39:41.944
6, -4560.20, -4931.25, 772.59, 1044.91, 0.000, 0.000, 0.000, 18:39:41.945
7, -4563.89, -4933.11, 779.32, 1040.70, 0.000, 0.000, 0.000, 18:39:41.947
8, -4556.79, -4934.57, 781.53, 1032.77, 0.000, 0.000, 0.000, 18:39:41.949
9, -4556.83, -4936.68, 782.78, 1039.83, 0.000, 0.000, 0.000, 18:39:41.951
10, -4565.97, -4950.99, 780.26, 1040.71, 0.000, 0.000, 0.000, 18:39:41.951
11, -4573.10, -4941.17, 783.15, 1046.70, 0.000, 0.000, 0.000, 18:39:41.952
12, -4568.90, -4944.63, 783.64, 1043.75, 0.000, 0.000, 0.000, 18:39:41.954
13, -4557.17, -4942.67, 768.79, 1048.06, 0.000, 0.000, 0.000, 18:39:41.957
14, -4569.82, -4929.82, 785.43, 1054.86, 0.000, 0.000, 0.000, 18:39:41.957
15, -4577.77, -4933.52, 782.26, 1048.69, 0.000, 0.000, 0.000, 18:39:41.958
16, -4564.68, -4932.38, 781.81, 1051.18, 0.000, 0.000, 0.000, 18:39:41.958
17, -4571.19, -4930.68, 784.26, 1060.15, 0.000, 0.000, 0.000, 18:39:41.959
18, -4577.39, -4938.86, 793.54, 1054.35, 0.000, 0.000, 0.000, 18:39:41.959
19, -4588.77, -4941.26, 775.16, 1047.55, 0.000, 0.000, 0.000, 18:39:42.003
20, -4582.96, -4951.95, 778.49, 1044.18, 0.000, 0.000, 0.000, 18:39:42.003
21, -4578.52, -4944.37, 779.49, 1045.52, 0.000, 0.000, 0.000, 18:39:42.006
22, -4576.05, -4942.99, 787.32, 1041.28, 0.000, 0.000, 0.000, 18:39:42.007
23, -4574.16, -4950.27, 767.11, 1029.10, 0.000, 0.000, 0.000, 18:39:42.007
24, -4582.72, -4950.42, 780.34, 1031.55, 0.000, 0.000, 0.000, 18:39:42.007
25, -4566.64, -4949.52, 796.01, 1044.25, 0.000, 0.000, 0.000, 18:39:42.008
26, -4573.12, -4957.04, 792.26, 1048.86, 0.000, 0.000, 0.000, 18:39:42.008
27, -4572.47, -4958.08, 810.21, 1058.60, 0.000, 0.000, 0.000, 18:39:42.008
28, -4584.17, -4960.81, 818.34, 1058.56, 0.000, 0.000, 0.000, 18:39:42.009
29, -4571.39, -4965.37, 802.84, 1061.02, 0.000, 0.000, 0.000, 18:39:42.009
30, -4562.78, -4962.10, 800.14, 1065.30, 0.000, 0.000, 0.000, 18:39:42.010
31, -4558.99, -4953.40, 804.57, 1077.02, 0.000, 0.000, 0.000, 18:39:42.016
32, -4558.18, -4956.99, 796.31, 1058.63, 0.000, 0.000, 0.000, 18:39:42.018
33, -4560.36, -4940.98, 799.72, 1060.77, 0.000, 0.000, 0.000, 18:39:42.030
34, -4565.81, -4950.33, 807.06, 1061.79, 0.000, 0.000, 0.000, 18:39:42.031
35, -4564.96, -4934.23, 811.13, 1049.03, 0.000, 0.000, 0.000, 18:39:42.031
36, -4558.12, -4935.49, 795.87, 1037.24, 0.000, 0.000, 0.000, 18:39:42.033
37, -4547.00, -4926.91, 825.30, 1047.91, 0.000, 0.000, 0.000, 18:39:42.078
38, -4551.79, -4939.11, 778.15, 1044.79, 0.000, 0.000, 0.000, 18:39:42.078
39, -4561.00, -4946.56, 783.66, 1035.78, 0.000, 0.000, 0.000, 18:39:42.081
40, -4559.85, -4943.62, 801.05, 1047.61, 0.000, 0.000, 0.000, 18:39:42.083
41, -4553.66, -4945.57, 784.64, 1033.77, 0.000, 0.000, 0.000, 18:39:42.083
42, -4534.11, -4935.82, 791.76, 1033.96, 0.000, 0.000, 0.000, 18:39:42.083
43, -4555.36, -4938.34, 798.19, 1035.90, 0.000, 0.000, 0.000, 18:39:42.086
44, -4538.00, -4926.09, 790.37, 1039.82, 0.000, 0.000, 0.000, 18:39:42.086
45, -4535.66, -4924.70, 817.96, 1046.78, 0.000, 0.000, 0.000, 18:39:42.087
46, -4534.53, -4912.26, 782.52, 1058.03, 0.000, 0.000, 0.000, 18:39:42.087
47, -4545.05, -4915.00, 797.66, 1056.55, 0.000, 0.000, 0.000, 18:39:42.092
48, -4550.21, -4919.60, 798.49, 1054.68, 0.000, 0.000, 0.000, 18:39:42.093
49, -4551.19, -4925.86, 774.05, 1040.16, 0.000, 0.000, 0.000, 18:39:42.108
50, -4540.59, -4927.27, 784.20, 1043.08, 0.000, 0.000, 0.000, 18:39:42.108
51, -4545.46, -4927.00, 789.17, 1053.18, 0.000, 0.000, 0.000, 18:39:42.153
52, -4566.85, -4927.98, 793.23, 1047.46, 0.000, 0.000, 0.000, 18:39:42.155
53, -4540.20, -4913.84, 822.60, 1068.45, 0.000, 0.000, 0.000, 18:39:42.157
54, -4546.89, -4930.72, 761.83, 1049.48, 0.000, 0.000, 0.000, 18:39:42.158
55, -4554.37, -4927.86, 777.74, 1048.83, 0.000, 0.000, 0.000, 18:39:42.158
56, -4561.35, -4924.94, 788.33, 1048.05, 0.000, 0.000, 0.000, 18:39:42.158
57, -4549.67, -4919.56, 773.10, 1061.98, 0.000, 0.000, 0.000, 18:39:42.160
58, -4540.47, -4923.80, 764.30, 1050.54, 0.000, 0.000, 0.000, 18:39:42.161
59, -4548.30, -4939.33, 789.90, 1059.05, 0.000, 0.000, 0.000, 18:39:42.162
60, -4553.62, -4925.33, 786.01, 1057.55, 0.000, 0.000, 0.000, 18:39:42.163
