%0o,	Fokus, Waktu
351, 1, 13:44:52.488
352, 1, 13:44:52.504
353, 1, 13:44:52.521
354, 1, 13:44:52.537
355, 1, 13:44:52.554
356, 1, 13:44:52.571
357, 1, 13:44:52.587
358, 1, 13:44:52.603
359, 1, 13:44:52.621
360, 1, 13:44:52.637
361, 1, 13:44:52.654
362, 1, 13:44:52.671
363, 1, 13:44:52.688
364, 1, 13:44:52.704
365, 1, 13:44:52.722
366, 1, 13:44:52.738
367, 1, 13:44:52.754
368, 1, 13:44:52.771
369, 1, 13:44:52.790
370, 1, 13:44:52.804
371, 1, 13:44:52.821
372, 1, 13:44:52.838
373, 1, 13:44:52.854
374, 1, 13:44:52.871
375, 1, 13:44:52.887
376, 1, 13:44:52.903
377, 1, 13:44:52.921
378, 1, 13:44:52.937
379, 1, 13:44:52.955
380, 1, 13:44:52.971
381, 1, 13:44:52.988
382, 1, 13:44:53.004
383, 1, 13:44:53.020
384, 1, 13:44:53.037
385, 1, 13:44:53.054
386, 1, 13:44:53.071
387, 1, 13:44:53.087
388, 1, 13:44:53.103
389, 1, 13:44:53.120
390, 1, 13:44:53.138
391, 1, 13:44:53.154
392, 1, 13:44:53.171
393, 1, 13:44:53.187
394, 1, 13:44:53.204
395, 1, 13:44:53.220
396, 1, 13:44:53.237
397, 1, 13:44:53.253
398, 1, 13:44:53.271
399, 1, 13:44:53.287
400, 1, 13:44:53.303
401, 1, 13:44:53.321
402, 1, 13:44:53.338
403, 1, 13:44:53.354
404, 1, 13:44:53.371
405, 1, 13:44:53.388
406, 1, 13:44:53.404
407, 1, 13:44:53.421
408, 1, 13:44:53.437
409, 1, 13:44:53.454
410, 1, 13:44:53.471
411, 1, 13:44:53.487
412, 1, 13:44:53.503
413, 1, 13:44:53.521
414, 1, 13:44:53.538
415, 1, 13:44:53.554
416, 1, 13:44:53.571
417, 1, 13:44:53.588
418, 1, 13:44:53.604
419, 1, 13:44:53.621
420, 1, 13:44:53.638
421, 1, 13:44:53.653
422, 1, 13:44:53.670
423, 1, 13:44:53.687
424, 1, 13:44:53.703
425, 1, 13:44:53.721
426, 1, 13:44:53.738
427, 1, 13:44:53.754
